,,,,Disease A,Disease A,,,,,Disease B,,Disease B,,,,,,,,,,,,,,,
Region_72,4,20,,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.10%,0.12%,0.00%,0.00%,0.00%
Region_72,5,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,6,20,,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.10%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%
Region_72,7,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,8,20,,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,9,20,,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%
Region_72,10,20,,0.00%,0.00%,0.00%,0.00%,0.08%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,11,20,,0.00%,0.00%,0.05%,0.05%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,12,20,,0.00%,0.17%,0.05%,0.11%,0.00%,0.00%,0.00%,0.13%,0.03%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.15%,0.21%,0.00%,0.00%,0.00%,0.00%,0.08%,0.08%,0.00%
Region_72,13,20,,0.04%,0.00%,0.05%,0.17%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.06%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.05%,0.00%,0.00%,0.00%,0.17%
Region_72,14,20,,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.03%,0.03%,0.00%,0.06%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.06%,0.00%,0.10%,0.13%,0.00%,0.00%,0.00%
Region_72,15,20,,0.04%,0.00%,0.05%,0.00%,0.08%,0.00%,0.00%,0.03%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,16,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,17,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%
Region_72,18,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,19,20,,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.08%,0.00%
Region_72,20,20,,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.08%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,21,20,,0.04%,0.00%,0.05%,0.06%,0.00%,0.08%,0.00%,0.00%,0.03%,0.15%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.13%,0.17%,0.00%,0.00%
Region_72,22,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%
Region_72,23,20,,0.00%,0.06%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%
Region_72,24,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,25,20,,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%
Region_72,26,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,27,20,,0.04%,0.06%,0.05%,0.06%,0.00%,0.08%,0.00%,0.08%,0.03%,0.45%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.06%,0.00%,0.00%,0.00%,0.09%
Region_72,28,20,,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,29,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,30,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,31,20,,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,32,20,,0.04%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.03%,0.03%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%
Region_72,33,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,34,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,35,20,,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.14%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,36,20,,0.04%,0.00%,0.11%,0.00%,0.18%,48.80%,0.27%,49.61%,0.00%,38.13%,0.15%,0.15%,49.32%,44.12%,0.00%,0.00%,0.00%,47.99%,0.91%,0.06%,0.00%,0.00%,0.00%,0.10%
Region_72,37,20,,0.00%,0.07%,0.06%,0.00%,0.00%,0.00%,0.09%,0.06%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%
Region_72,38,20,,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.16%,0.00%,0.08%,0.00%,0.08%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%
Region_72,39,20,,0.00%,0.07%,0.12%,0.00%,0.09%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,40,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,41,20,,0.08%,0.14%,0.06%,0.00%,0.09%,0.09%,0.00%,0.06%,0.00%,0.16%,0.00%,0.08%,0.22%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.09%,0.00%
Region_72,42,20,,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,43,20,,0.00%,0.07%,0.00%,0.00%,0.09%,0.00%,0.09%,0.03%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,44,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,45,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,46,20,,0.09%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.06%,0.03%,0.00%,0.08%,0.08%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.06%,0.00%,0.10%,0.00%,0.00%
Region_72,47,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.03%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,48,20,,0.09%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.09%,0.04%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.10%,0.00%
Region_72,49,20,,0.04%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%
Region_72,50,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%
Region_72,51,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.07%,0.40%,0.07%,0.00%,0.00%,0.00%,0.00%
Region_72,52,20,,0.04%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,53,20,,0.00%,0.07%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%
Region_72,54,20,,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,55,20,,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,56,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,57,20,,0.04%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%
Region_72,58,20,,0.05%,0.08%,0.00%,0.00%,0.00%,0.00%,0.10%,0.03%,0.04%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%
Region_72,59,20,,0.09%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.08%,0.18%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,60,20,,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,61,20,,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%
Region_72,62,20,,0.05%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.03%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,63,20,,0.00%,0.08%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.04%,0.00%,0.17%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.08%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%
Region_72,64,20,,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,65,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,66,20,,0.05%,0.08%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%
Region_72,67,20,,0.10%,0.08%,0.07%,0.09%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.20%,0.12%,0.00%,0.00%
Region_72,68,20,,0.10%,0.09%,0.00%,0.00%,0.11%,0.11%,0.00%,0.03%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,69,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,70,20,,0.00%,0.09%,0.00%,0.09%,0.00%,0.00%,0.00%,0.03%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,71,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%
Region_72,72,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.00%
Region_72,73,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,74,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,75,20,,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.04%,0.09%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%
Region_72,76,20,,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_72,77,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_73,80,20,,0.00%,0.09%,0.13%,0.00%,0.00%,0.26%,0.00%,0.07%,0.18%,0.00%,0.00%,0.00%,0.14%,0.10%,0.17%,0.19%,0.00%,0.09%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%
Region_72,78,20,,0.11%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_73,79,20,,0.10%,0.00%,0.20%,0.09%,0.00%,0.26%,0.00%,0.03%,0.17%,0.00%,0.09%,0.17%,0.14%,0.10%,0.34%,0.19%,0.00%,0.08%,0.44%,0.15%,0.00%,0.12%,0.11%,0.00%
Region_73,78,20,,0.10%,0.00%,0.20%,0.09%,0.00%,0.26%,0.12%,0.03%,0.17%,0.00%,0.00%,0.17%,0.13%,0.10%,0.33%,0.19%,0.16%,0.08%,0.44%,0.15%,0.00%,0.12%,0.00%,0.00%
Region_72,79,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%
Region_73,77,20,,0.05%,0.00%,0.20%,0.09%,0.00%,0.26%,0.00%,0.03%,0.17%,0.00%,0.00%,0.17%,0.13%,0.10%,0.33%,0.19%,0.00%,0.08%,0.22%,0.15%,0.00%,0.12%,0.00%,0.00%
Region_72,80,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_73,76,20,,0.05%,0.00%,0.20%,0.09%,0.00%,0.26%,0.00%,0.03%,0.17%,0.00%,0.26%,0.17%,0.13%,0.10%,0.33%,0.28%,0.16%,0.17%,0.44%,0.22%,0.00%,0.12%,0.11%,0.10%
Region_73,75,20,,0.05%,0.00%,0.07%,0.09%,0.11%,0.13%,0.12%,0.03%,0.09%,0.00%,0.00%,0.25%,0.00%,0.10%,0.16%,0.09%,0.00%,0.00%,0.43%,0.15%,0.00%,0.12%,0.00%,0.00%
Region_73,74,20,,0.00%,0.00%,0.13%,0.00%,0.00%,0.25%,0.00%,0.07%,0.13%,0.72%,0.08%,0.00%,0.13%,0.00%,0.16%,0.19%,0.00%,0.08%,0.00%,0.07%,0.18%,0.00%,0.00%,0.00%
Region_73,73,20,,0.05%,0.00%,0.19%,0.35%,0.00%,0.25%,0.00%,0.03%,0.17%,0.00%,0.00%,0.17%,0.13%,0.10%,0.32%,0.19%,0.00%,0.08%,0.43%,0.14%,0.00%,0.23%,0.00%,0.00%
Region_73,72,20,,0.05%,0.00%,0.06%,0.09%,0.00%,0.12%,0.00%,0.07%,0.04%,0.00%,0.00%,0.16%,0.00%,0.10%,0.16%,0.09%,0.00%,0.00%,0.43%,0.07%,0.00%,0.11%,0.00%,0.00%
Region_73,71,20,,0.05%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.03%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_73,70,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_73,69,20,,0.00%,0.00%,0.19%,0.00%,0.00%,0.12%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.12%,0.00%,0.16%,0.09%,0.00%,0.08%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%
Region_73,68,20,,0.05%,0.00%,0.06%,0.17%,0.00%,0.12%,0.00%,0.03%,0.08%,0.00%,0.00%,0.08%,0.00%,0.09%,0.15%,0.09%,0.00%,0.00%,0.42%,0.07%,0.00%,0.22%,0.00%,0.00%
Region_73,67,20,,0.05%,0.00%,0.12%,0.00%,0.11%,0.23%,0.11%,0.06%,0.16%,0.00%,0.00%,0.08%,0.12%,0.00%,0.31%,0.18%,0.00%,0.08%,0.00%,0.14%,0.17%,0.00%,0.00%,0.00%
Region_73,66,20,,0.05%,0.00%,0.18%,0.08%,0.00%,0.23%,0.00%,0.03%,0.16%,0.00%,0.00%,0.08%,0.12%,0.09%,0.30%,0.18%,0.00%,0.08%,0.42%,0.14%,0.00%,0.11%,0.00%,0.00%
Region_73,65,20,,0.05%,0.00%,0.18%,0.08%,0.00%,0.23%,0.00%,0.03%,0.16%,0.17%,0.00%,0.08%,0.12%,0.09%,0.30%,0.18%,0.00%,0.07%,0.42%,0.14%,0.17%,0.11%,0.00%,0.18%
Region_73,64,20,,0.05%,0.00%,0.18%,0.08%,0.00%,0.11%,0.00%,0.03%,0.16%,0.00%,0.00%,0.08%,0.12%,0.09%,0.30%,0.17%,0.00%,0.07%,0.42%,0.14%,0.00%,0.10%,0.00%,0.00%
Region_73,63,20,,0.05%,0.00%,0.18%,0.08%,0.00%,0.11%,0.00%,0.03%,0.16%,0.00%,0.00%,0.08%,0.12%,0.09%,0.30%,0.17%,0.00%,0.07%,0.42%,0.14%,0.00%,0.10%,0.00%,0.00%
Region_73,62,20,,0.05%,0.00%,0.18%,0.08%,0.00%,0.11%,0.00%,0.03%,0.16%,0.00%,0.00%,0.08%,0.12%,0.09%,0.30%,0.17%,0.00%,0.07%,0.42%,0.14%,0.00%,0.10%,0.00%,0.00%
Region_73,61,20,,0.04%,0.00%,0.12%,0.08%,0.00%,0.22%,0.11%,0.03%,0.08%,0.00%,0.08%,0.08%,0.00%,0.09%,0.15%,0.17%,0.00%,0.07%,0.41%,0.07%,0.00%,0.10%,0.00%,0.00%
Region_73,60,20,,0.00%,0.00%,0.12%,0.00%,0.00%,0.22%,0.11%,0.03%,0.15%,0.00%,0.08%,0.00%,0.12%,0.00%,0.15%,0.09%,0.00%,0.15%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%
Region_73,59,20,,0.04%,0.00%,0.18%,0.08%,0.00%,0.22%,0.00%,0.06%,0.15%,0.00%,0.00%,0.08%,0.12%,0.09%,0.30%,0.09%,0.00%,0.15%,0.41%,0.13%,0.00%,0.10%,0.10%,0.00%
Region_73,58,20,,0.04%,0.00%,0.06%,0.08%,0.00%,0.22%,0.00%,0.03%,0.04%,0.00%,0.00%,0.08%,0.00%,0.09%,0.15%,0.00%,0.00%,0.00%,0.41%,0.07%,0.00%,0.10%,0.00%,0.00%
Region_73,57,20,,0.04%,0.00%,0.00%,0.07%,0.00%,0.11%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%
Region_73,56,20,,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_73,55,20,,0.00%,0.00%,0.12%,0.00%,0.00%,0.11%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.12%,0.00%,0.15%,0.08%,0.00%,0.07%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%
Region_73,54,20,,0.09%,0.08%,0.17%,0.07%,0.00%,0.21%,0.00%,0.03%,0.15%,0.00%,0.00%,0.08%,0.11%,0.09%,0.14%,0.08%,0.00%,0.07%,0.40%,0.13%,0.00%,0.10%,0.00%,0.09%
Region_73,53,20,,0.04%,0.00%,0.06%,0.07%,0.00%,0.00%,0.00%,0.03%,0.04%,0.00%,0.00%,0.15%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.40%,0.06%,0.00%,0.10%,0.00%,0.00%
Region_73,52,20,,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Region_73,51,20,,0.00%,0.00%,0.11%,0.00%,0.00%,0.10%,0.10%,0.00%,0.11%,0.00%,0.00%,0.00%,0.11%,0.00%,0.14%,0.08%,0.00%,0.07%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%
